epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.9579,1.33468,0.81299,0.99606,0.57092,0.000330709,0.000330709,0.000330709
2,181.15,0.61769,0.86024,0.99803,0.38566,0.000650894,0.000650894,0.000650894
3,270.328,0.52186,0.87008,0.99803,0.35082,0.000957879,0.000957879,0.000957879
4,358.008,0.50738,0.85433,1,0.44279,0.0009406,0.0009406,0.0009406
5,445.726,0.45328,0.87992,1,0.33592,0.0009208,0.0009208,0.0009208
6,536.692,0.34463,0.8878,0.99803,0.36127,0.000901,0.000901,0.000901
7,628.629,0.28358,0.90354,0.99606,0.31624,0.0008812,0.0008812,0.0008812
8,717.804,0.28697,0.88189,0.99803,0.38438,0.0008614,0.0008614,0.0008614
9,806.069,0.25032,0.92717,1,0.25514,0.0008416,0.0008416,0.0008416
10,893.927,0.2303,0.91142,1,0.27927,0.0008218,0.0008218,0.0008218
11,980.925,0.20947,0.89567,1,0.40388,0.000802,0.000802,0.000802
12,1072.24,0.19784,0.90748,1,0.30525,0.0007822,0.0007822,0.0007822
13,1159.66,0.14175,0.91732,1,0.29071,0.0007624,0.0007624,0.0007624
14,1247.31,0.13644,0.9311,1,0.22717,0.0007426,0.0007426,0.0007426
15,1335.12,0.13399,0.89961,1,0.32375,0.0007228,0.0007228,0.0007228
16,1422.93,0.11124,0.92913,1,0.23941,0.000703,0.000703,0.000703
17,1512.27,0.12185,0.93307,1,0.21839,0.0006832,0.0006832,0.0006832
18,1600.74,0.135,0.92717,1,0.2362,0.0006634,0.0006634,0.0006634
19,1689.33,0.11137,0.9311,1,0.22798,0.0006436,0.0006436,0.0006436
20,1778.82,0.09188,0.92126,1,0.28113,0.0006238,0.0006238,0.0006238
21,1867.28,0.08776,0.93898,1,0.23157,0.000604,0.000604,0.000604
22,1955.55,0.0836,0.9252,0.99803,0.23552,0.0005842,0.0005842,0.0005842
23,2045.05,0.0754,0.93701,0.99803,0.25766,0.0005644,0.0005644,0.0005644
24,2134.24,0.09415,0.92126,1,0.25714,0.0005446,0.0005446,0.0005446
25,2221.94,0.07004,0.93504,1,0.25495,0.0005248,0.0005248,0.0005248
26,2310.4,0.06609,0.92913,1,0.31027,0.000505,0.000505,0.000505
27,2399.58,0.06703,0.93504,1,0.30019,0.0004852,0.0004852,0.0004852
28,2489.56,0.06954,0.94685,1,0.2304,0.0004654,0.0004654,0.0004654
29,2578.34,0.0557,0.93898,1,0.21811,0.0004456,0.0004456,0.0004456
30,2666.76,0.04965,0.92717,1,0.24677,0.0004258,0.0004258,0.0004258
31,2756.55,0.05953,0.94291,1,0.26289,0.000406,0.000406,0.000406
32,2843.47,0.05192,0.9311,1,0.25441,0.0003862,0.0003862,0.0003862
33,2932.29,0.05033,0.9252,1,0.25118,0.0003664,0.0003664,0.0003664
34,3021.08,0.04428,0.93701,1,0.20305,0.0003466,0.0003466,0.0003466
35,3108.5,0.03764,0.94291,1,0.26117,0.0003268,0.0003268,0.0003268
36,3195.98,0.03236,0.94882,0.99803,0.22801,0.000307,0.000307,0.000307
37,3285.46,0.03112,0.94291,0.99803,0.24795,0.0002872,0.0002872,0.0002872
38,3373.35,0.02981,0.94488,1,0.22234,0.0002674,0.0002674,0.0002674
39,3460.79,0.02496,0.93898,1,0.25282,0.0002476,0.0002476,0.0002476
40,3549.08,0.02622,0.93701,1,0.26388,0.0002278,0.0002278,0.0002278
41,3638.16,0.02613,0.93701,1,0.24858,0.000208,0.000208,0.000208
42,3726.25,0.02382,0.94685,1,0.20711,0.0001882,0.0001882,0.0001882
43,3814.36,0.03567,0.94685,1,0.20226,0.0001684,0.0001684,0.0001684
44,3903.34,0.02825,0.95276,1,0.20778,0.0001486,0.0001486,0.0001486
45,3992.72,0.02514,0.95472,1,0.18628,0.0001288,0.0001288,0.0001288
46,4082.53,0.02299,0.95472,1,0.18756,0.000109,0.000109,0.000109
47,4170.36,0.03123,0.95079,1,0.20664,8.92e-05,8.92e-05,8.92e-05
48,4259.46,0.02243,0.95079,1,0.20742,6.94e-05,6.94e-05,6.94e-05
49,4348.26,0.02028,0.95866,1,0.19796,4.96e-05,4.96e-05,4.96e-05
50,4438.02,0.02409,0.94882,1,0.20056,2.98e-05,2.98e-05,2.98e-05
