epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.5675,1.64201,0.65164,0.97131,1.22665,0.00031,0.00031,0.00031
2,58.1763,1.11939,0.81148,0.9918,0.59421,0.00060921,0.00060921,0.00060921
3,85.0221,0.70136,0.90984,1,0.35521,0.0008873,0.0008873,0.0008873
4,113.264,0.5617,0.95492,1,0.19596,0.000901,0.000901,0.000901
5,140.545,0.34804,0.95902,0.9959,0.14715,0.000868,0.000868,0.000868
6,167.999,0.30422,0.9877,1,0.05916,0.000835,0.000835,0.000835
7,193.086,0.28458,0.9877,1,0.04078,0.000802,0.000802,0.000802
8,218.393,0.20051,0.9918,1,0.04083,0.000769,0.000769,0.000769
9,243.435,0.2409,0.9959,1,0.03597,0.000736,0.000736,0.000736
10,269.255,0.12839,0.9959,1,0.03867,0.000703,0.000703,0.000703
11,294.345,0.1646,0.9959,1,0.03018,0.00067,0.00067,0.00067
12,319.584,0.11066,0.9918,1,0.02733,0.000637,0.000637,0.000637
13,344.624,0.10732,0.9959,1,0.03382,0.000604,0.000604,0.000604
14,369.72,0.14759,0.9918,1,0.05021,0.000571,0.000571,0.000571
